away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
CHC,PIT,-118,100,0.513,0.487,Justin Steele,Jared Jones
KCR,CLE,134,-158,0.396,0.604,Michael Lorenzen,Gavin Williams
LAA,DET,132,-156,0.365,0.635,Johnny Cueto,Brant Hurter
HOU,PHI,124,-146,0.422,0.578,Justin Verlander,Aaron Nola
OAK,CIN,122,-144,0.476,0.524,Mitch Spence,Jakob Junis
NYY,WSH,-240,194,0.654,0.346,Gerritt Cole,Patrick Corbin
TOR,BOS,126,-148,0.42,0.58,Yariel Rodríguez,Cooper Criswell
ATL,MIN,-110,-106,0.527,0.473,Spencer Schwellenbach,Simeon Woods Richardson
SDP,STL,-142,120,0.546,0.454,Dylan Cease,Miles Mikolas
SFG,MIL,102,-116,0.506,0.494,Logan Webb,Tobias Myers
TEX,CWS,-142,120,0.481,0.519,Andrew Heaney,Garrett Crochet
MIA,COL,128,-152,0.438,0.562,Roddery Muñoz,Cal Quantrill
NYM,ARI,104,-122,0.439,0.561,Sean Manaea,Brandon Pfaadt
TBR,SEA,128,-152,0.453,0.547,Jeffrey Springs,Logan Gilbert
BAL,LAD,160,-190,0.376,0.626,Cole Irvin,Jack Flaherty
