away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
COL,WSH,110,-130,0.45,0.55,Cal Quantrill,Patrick Corbin
CLE,NYY,150,-178,0.408,0.592,Gavin Williams,Gerrit Cole
MIL,STL,-120,102,0.518,0.482,Freddy Peralta,Miles Mikolas
DET,CHC,168,-200,0.41,0.59,na,Justin Steele
TBR,OAK,-122,104,0.52,0.48,Jeffrey Springs,Osvaldo Bido
CIN,PIT,122,-144,0.419,0.581,Nick Lodolo,Paul Skenes
LAA,TOR,132,-156,0.454,0.546,na,na
PHI,ATL,-104,-112,0.483,0.517,Spencer Arrighetti,Corbin Burnes
HOU,BAL,134,-162,0.437,0.563,Cristopher Sánchez,Spencer Schwellenbach
NYM,SDP,136,-162,0.398,0.602,Luis Severino,Dylan Cease
