away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
CLE,MIN,134,158,0.408,0.592,Joey Cantillo,Bailey Ober
LAA,WSH,-104,-112,0.525,0.475,José Soriano,Mitchell parker
BAL,TBR,-134,114,0.508,0.492,Zach Eflin,Zack Littell
OAK,TOR,124,-146,0.467,0.533,Mitch Spence,José Berríos
SDP,MIA,-124,106,0.532,0.468,Martín Pérez,Edward Cabrera
HOU,BOS,114,-134,0.421,0.579,Ronel Blanco,Tanner Houck
CIN,MIL,118,-138,0.414,0.586,Carson Spiers,Aaron Civale
CLE,MIN,-102,-138,0.467,0.533,Alex Cobb,na
STL,KCR,-102,-116,0.485,0.515,Miles Mikolas,Michael Lorenzen
CHC,CWS,-146,124,0.44,0.56,Jameson Taillon,Garrett Crochet
ATL,COL,-162,136,0.622,0.378,Grant Holmes,Tanner Gordon
PHI,ARI,-142,120,0.56,0.44,Zack Wheeler,Ryne Nelson
PIT,LAD,172,-205,0.4,0.6,Mitch Keller,Jack Flaherty
NYM,SEA,108,-126,0.434,0.566,Jose Quintana,Bryce Miller
DET,SFG,168,-200,0.425,0.575,na,Robbie Ray
