away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
MIA,NYM,166,-198,0.35,0.65,Valente Bellozo,Paul Blackburn
WSH,PHI,132,-156,0.418,0.582,Jake Irvin,Taijuan Walker
BOS,BAL,104,-122,0.435,0.547,Kutter Crawford,Albert Suárez
SEA,PIT,-158,134,0.579,0.421,George Kirby,Jake Woodford
KCR,CIN,-106,-110,0.5,0.5,Brady Singer,Andrew Abbott
ARI,TBR,-120,102,0.411,0.589,Merrill Kelly,na
CWS,HOU,300,-375,0.276,0.724,Ky Bush,Framber Valdez
CLE,MIL,104,-122,0.439,0.561,Ben Lively,Colin Rea
LAD,STL,-110,-106,0.46,0.54,Clayton Kershaw,Sonny Gray
TOR,CHC,160,-190,0.39,0.61,Bowden Francis,Shota Imanaga
MIN,TEX,-112,-104,0.502,0.498,Pablo López,Tyler Mahle
SDP,COL,-198,166,0.648,0.352,Joe Musgrove,Bradley Blalock
SFG,OAK,-172,144,0.509,0.491,Blake Snell,JP Sears
ATL,LAA,-176,148,0.596,0.404,Charlie Morton,Jack Kochanowicz
NYY,DET,104,-122,0.436,0.564,Marcus Stroman,Tarik Skubal
