away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
WSH,BAL,154,-184,0.366,0.634,Jake Irvin,Trevor Rogers
STL,CIN,112,-132,0.418,0.582,Erick Fedde,Hunter Greene
MIA,PHI,172,-205,0.348,0.652,Valente Bellozo,Taijuan Walker
SEA,DET,108,-126,0.47,0.53,George Kirby,Tarik Skubal
CHC,CLE,130,-154,0.405,0.595,Javier Assad,Matthew Boyd
HOU,TBR,-126,108,0.516,0.484,Yusei Kikuchi,Shane Baz
TEX,BOS,120,-142,0.432,0.568,José Ureña,Kutter Crawford
OAK,NYM,164,-196,0.43,0.57,Joe Boyle,Paul Blackburn
KCR,MIN,106,-124,0.428,0.572,Seth Lugo,Zebby Matthews
LAD,MIL,-118,100,0.497,0.503,Gavin Stone,Colin Rea
NYY,CWS,-295,240,0.649,0.351,Nestor Cortes,Jonathan Cannon
TOR,LAA,-122,104,0.534,0.466,Kevin Gausman,Carson Fulmer
COL,ARI,172,-205,0.316,0.684,Austin Gomber,Eduardo Rodriguez
PIT,SDP,205,-250,0.36,0.64,Luis Ortiz,Michael King
ATL,SFG,-104,-112,0.53,0.47,Charlie Morton,Kyle Harrison
