away,home,fd_away,fd_home,fg_wp_away,fg_wp_home
NYM,MIA,-148,126,0.558,0.442
STL,PIT,102,-124,0.445,0.555
DET,CLE,-134,114,0.589,0.411
CIN,ATL,120,-142,0.44,0.56
PHI,MIN,-116,-102,0.536,0.464
MIL,CHC,-124,106,0.502,0.498
CWS,TEX,144,-172,0.401,0.599
ARI,KCR,132,-156,0.4,0.6
BOS,COL,-172,144,0.623,0.377
HOU,OAK,-146,124,0.559,0.441
LAA,SEA,136,-162,0.414,0.586
SFG,LAD,110,-130,0.429,0.571
