away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
CHC,PIT,100,-118,0.453,0.545,Jameson Taillon,Mitch Keller
KCR,CLE,118,-138,0.459,0.541,Alec Marsh,Logan Allen
HOU,PHI,154,-184,0.362,0.638,Ronel Blanco,Zack Wheeler
NYY,WSH,-184,154,0.612,0.388,Nestor Cortes,Mitchell Parker
TOR,BOS,130,-154,0.391,0.609,José Berríos,na
ATL,MIN,102,-120,0.516,0.488,Max Fried,Bailey Ober
SDP,STL,102,-120,0.484,0.516,Randy Vásquez,Kyle Gibson
DET,CWS,-144,122,0.569,0.431,Ty Madden,Davis Martin
MIA,COL,-102,-116,0.502,0.498,Edward Cabrera,Ryan Feltner
TBR,SEA,112,-132,0.475,0.525,Ryan Pepiot,Bryce Miller
