away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
MIA,TBR,215,-260,0.315,0.685,Roddery Munoz,Taj Bradley
TOR,BAL,198,-240,0.299,0.701,Paolo Espino,Grayson Rodriguez
NYY,PHI,102,-120,0.461,0.539,Nestor Cortes,Cristopher Sánchez
MIN,NYM,-116,-102,0.526,0.474,Pablo López,Luis Severino
ATL,MIL,-118,102,0.523,0.477,Chris Sale,Freddy Peralta
KCR,CWS,-230,194,0.581,0.419,Brady Singer,Drew Thorpe
TEX,STL,-108,-108,0.441,0.559,Andrew Heaney,Michael McGreevy
WSH,ARI,146,-174,0.372,0.628,MacKenzie Gore,Zac Gallen
SEA,BOS,-112,-104,0.495,0.505,George Kirby,Brayan Bello
CHC,CIN,130,-154,0.367,0.633,Kyle Hendricks,Nick Lodolo
PIT,HOU,184,-220,0.314,0.686,Jake Woodford,Framber Valdez
LAD,SDP,110,-130,0.447,0.553,Clayton Kershaw,Dylan Cease
COL,LAA,120,-142,0.39,0.61,Kyle Freeland,Davis Daniel
OAK,SFG,172,-205,0.365,0.635,Ross Stripling,Logan Webb
