away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
KCR,MIN,-108,-108,0.5,0.5,na,na
COL,ARI,168,-200,0.313,0.687,Tanner Gordon,Jordan Montgomery
PIT,SDP,120,-142,0.42,0.58,Mitch Keller,Martín Pérez
TEX,BOS,116,-134,0.39,0.61,Dane Dunning,Tanner Houck
WSH,BAL,144,-172,0.388,0.612,DJ Herz,Dean Kremer
MIA,PHI,154,-184,0.419,0.581,Edward Cabrera,Tyler Phillips
STL,CIN,-118,100,0.461,0.539,Kyle Gibson,na
SEA,DET,-144,122,0.515,0.485,Bryan Woo,na
CHC,CLE,120,-142,0.382,0.618,Jameson Taillon,Alex Cobb
HOU,TBR,-124,106,0.491,0.509,Ronel Blanco,Zack Littell
OAK,NYM,150,-178,0.373,0.627,Joey Estes,David Peterson
LAD,MIL,-118,100,0.5,0.5,Walker Buehler,Frankie Montas
NYY,CWS,-250,205,0.613,0.387,Will Warren,Davis Martin
TOR,LAA,-102,-116,0.478,0.522,José Berríos,Tyler Anderson
ATL,SFG,110,-130,0.546,0.454,Grant Holmes,Robbie Ray
