away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
SEA,PIT,-154,130,0.539,0.461,Luis Castillo,Bailey Falter
NYY,DET,-245,200,0.611,0.389,Carlos Rodón,Keider Montero
TOR,CHC,140,-166,0.424,0.576,Chris Bassitt,Justin Steele
MIA,NYM,160,-190,0.389,0.611,Max Meyer,Luis Severino
ARI,TBR,-116,-102,0.492,0.508,Zac Gallen,Jeffrey Springs
WSH,PHI,188,-225,0.333,0.667,MacKenzie Gore,Cristopher Sánchez
KCR,CIN,108,-126,0.417,0.583,Michael Wacha,Nick Lodolo
BOS,BAL,108,-126,0.48,0.52,Brayan Bello,Cade Povich
MIN,TEX,116,-134,0.46,0.54,David Festa,Nathan Eovaldi
SFG,OAK,-124,106,0.437,0.563,Hayden Birdsong,Osvaldo Bido
CWS,HOU,300,-375,0.233,0.767,Chris Flexen,Hunter Brown
LAD,STL,-138,118,0.517,0.483,Bobby Miller,Andre Pallante
CLE,MIL,110,-130,0.459,0.541,Tanner Bibee,Freddy Peralta
SDP,COL,-210,176,0.651,0.349,Dylan Cease,Kyle Freeland
ATL,LAA,-225,188,0.659,0.341,Chris Sale,Griffin Canning
