away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
BAL,NYM,110,-130,0.451,0.549,Cole Irvin,Sean Manaea
BOS,HOU,118,-138,0.428,0.572,Cooper Criswell,Justin Verlander
PIT,TEX,134,-158,0.469,0.531,Domingo Germán,Andrew Heaney
CWS,SFG,190,-230,0.41,0.59,Garrett Crochet,Logan Webb
ARI,MIA,-164,138,0.607,0.393,Jordan Montgomery,Roddery Muñoz
MIN,SDP,108,-126,0.448,0.552,Simeon Woods Richardson,Matt Waldron
COL,WSH,134,-158,0.412,0.588,Tanner Gordon,Mitchell Parker
CLE,NYY,164,-196,0.385,0.615,Joey Cantillo,Nestor Cortes
CIN,TOR,-108,-108,0.479,0.521,Nick Martinez,Yariel Rodríguez
PHI,ATL,-108,-108,0.459,0.541,Aaron Nola,Max Fried
MIL,STL,-102,-116,0.459,0.541,Tobias Myers,Kyle Gibson
DET,CHC,136,-162,0.425,0.575,na,Jameson Taillon
LAA,KCR,146,-174,0.39,0.61,Johnny Cueto,Michael Lorenzen
TBR,OAK,-132,112,0.525,0.475,Ryan Pepiot,Mitch Spence
SEA,LAD,152,-180,0.441,0.559,Logan Gilbert,Jack Flaherty
