away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
LAA,WSH,134,-158,0.406,0.694,Jack Kochanowicz,MacKenzie Gore
HOU,BOS,-138,118,0.598,0.402,Hunter Brown,James Paxton
TEX,NYY,122,-144,0.435,0.565,Andrew Heaney,Marcus Stroman
OAK,TOR,132,-156,0.422,0.578,JP Sears,Chris Bassitt
SDP,MIA,-200,168,0.601,0.399,Dylan Cease,Max Meyer
BAL,TBR,-110,-106,0.446,0.544,Albert Suárez,Jeffrey Springs
CIN,MIL,102,-120,0.456,0.544,Nick Lodolo,na
CLE,MIN,-104,-112,0.473,0.527,Tanner Bibee,David Festa
ATL,COL,-174,146,0.641,0.359,Spencer Schwellenbach,Kyle Freeland
DET,SFG,146,-174,0.422,0.578,Keider Montero,Hayden Birdsong
PHI,ARI,-126,108,0.524,0.476,Cristopher Sánchez,Merrill Kelly
PIT,LAD,235,-290,0.308,0.692,Bailey Falter,Tyler Glasnow
NYM,SEA,114,-134,0.427,0.573,Luis Severino,Luis Castillo
