away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
TOR,NYY,194,-234,0.341,0.659,José Berríos,Carlos Rodon
STL,CHC,100,-118,0.47,0.53,Kyle Gibson,James Taillon
MIL,WSH,-122,104,0.528,0.472,Aaron Civale,DJ Herz
KCR,DET,-138,118,0.486,0.514,Michael Lorenzen,na
ARI,PIT,100,-118,0.481,0.519,Jordan Montgomery,Mitch Keller
BOS,TEX,-112,-104,0.509,0.491,Tanner Houck,Cody Bradford
CWS,MIN,205,-250,0.395,0.605,Garrett Crochet,Bailey Ober
SFG,CIN,116,-136,0.417,0.583,Kyle Harrison,Hunter Greene
BAL,CLE,-118,100,0.513,0.487,Zach Eflin,Joey Cantillo
TBR,HOU,130,-154,0.437,0.563,Zack Littell,Ronel Blanco
MIA,ATL,200,-245,0.335,0.665,Kyle Tyler,Grant Holmes
COL,SDP,168,-200,0.344,0.656,Tanner Gordon,Martín Pérez
LAD,OAK,-172,144,0.562,0.438,Jack Flaherty,Mitch Spence
NYM,LAA,-126,108,0.511,0.489,David Peterson,José Soriano
PHI,SEA,100,-118,0.572,0.428,na,Bryce Miller
