away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp,away_sp_era,home_sp_era
MIN,DET,-112,-104,0.486,0.514,Ryan,Skubai,3.65,2.34
CLE,PHI,126,-148,0.411,0.589,Carrasco,Phillips,5.32,2.81
CIN,TBR,108,-126,0.433,0.567,Abbot,Littell,3.19,4.46
SDP,BAL,-112,-104,0.479,0.521,King,Kremer,3.28,4.43
TEX,TOR,112,-132,0.424,0.576,Lorenzen,Gausman,3.53,4.55
ATL,NYM,102,-120,0.491,0.509,Schwellenbach,Megill,4.62,5.08
NYY,BOS,102,-120,0.46,0.54,Stroman,Crawford,3.51,3.37
MIA,MIL,136,-162,0.442,0.558,Meyer,Civale,2.12,5
SEA,CWS,-138,118,0.583,0.417,Woo,Fedde,2.54,2.98
LAD,HOU,128,-152,0.452,0.548,Wrobleski,Blanco,4.4,2.75
CHC,KCR,112,-132,0.468,0.532,Imanaga,Lugo,2.86,2.38
WSH,STL,124,-146,0.41,0.59,Irvin,Gibson,3.44,3.99
OAK,LAA,108,-126,0.467,0.533,Spence,Anderson,4.67,2.91
PIT,ARI,146,-174,0.395,0.605,Gonzales,Pfaadt,2.7,3.74
COL,SFG,188,-225,0.37,0.63,Feltner,Snell,5.19,5.83
