Tm,W,L,pythWL,ERA
Arizona Diamondbacks,53,50,54-49,4.5
Atlanta Braves,54,47,56-45,3.49
Baltimore Orioles,61,41,60-42,3.73
Boston Red Sox,54,47,53-48,3.8
Chicago Cubs,49,55,51-53,3.7
Chicago White Sox,27,78,31-74,4.61
Cincinnati Reds,49,53,55-47,3.86
Cleveland Guardians,61,41,59-43,3.65
Colorado Rockies,38,65,38-65,5.5
Detroit Tigers,51,53,52-52,3.89
Houston Astros,53,49,56-46,4.02
Kansas City Royals,56,47,59-44,3.76
Los Angeles Angels,45,58,42-61,4.63
Los Angeles Dodgers,62,42,62-42,3.76
Miami Marlins,37,66,36-67,4.5
Milwaukee Brewers,59,43,60-42,3.72
Minnesota Twins,56,45,55-46,4.11
New York Mets,54,48,53-49,4.15
New York Yankees,60,44,62-42,3.61
Oakland Athletics,42,63,46-59,4.41
Philadelphia Phillies,64,38,62-40,3.46
Pittsburgh Pirates,52,50,50-52,3.77
San Diego Padres,55,50,56-49,4.03
San Francisco Giants,49,55,49-55,4.43
Seattle Mariners,53,51,53-51,3.41
St. Louis Cardinals,53,49,47-55,3.96
Tampa Bay Rays,52,51,46-57,4.17
Texas Rangers,51,52,52-51,3.97
Toronto Blue Jays,46,56,43-59,4.54
Washington Nationals,47,56,47-56,4.19
