away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
CLE,DET,-162,136,0.524,0.477,Tanner Bibee,Beau Brieske
NYY,PHI,118,-138,0.423,0.577,Luis Gil,Zack Wheeler
SEA,BOS,104,-122,0.478,0.522,Logan Gilbert,Nick Pivetta
CHC,CIN,-116,-102,0.471,0.529,Jameson Taillon,Carson Spiers
MIN,NYM,-102,-116,0.485,0.515,Simeon Woods Richardson,Jose Quintana
TEX,STL,-112,-104,0.497,0.515,Nathan Eovaldi,Andre Pallante
KCR,CWS,-172,144,0.561,0.439,Alec Marsh,Chris Flexen
PIT,HOU,-132,112,0.546,0.454,Paul Skenes,Jake Bloss
ATL,MIL,100,-118,0.494,0.506,Grant Holmes,Colin Rea
WSH,ARI,138,-164,0.364,0.636,Mitchell Parker,Jordan Montgomery
TOR,BAL,134,-158,0.412,0.588,Bowden Francis,Cade Povich
