Tm,W,L,pythWL
Philadelphia Phillies,62,34,59-37
Cleveland Guardians,58,37,56-39
Baltimore Orioles,58,38,56-40
New York Yankees,58,40,60-38
Los Angeles Dodgers,56,41,57-40
Milwaukee Brewers,55,42,57-40
Minnesota Twins,54,42,53-43
Atlanta Braves,53,42,55-40
Boston Red Sox,53,42,52-43
Kansas City Royals,52,45,55-42
Seattle Mariners,52,46,51-47
Houston Astros,50,46,53-43
St. Louis Cardinals,50,46,44-52
New York Mets,49,46,49-46
Arizona Diamondbacks,49,48,50-47
San Diego Padres,50,49,51-48
Pittsburgh Pirates,48,48,47-49
Tampa Bay Rays,48,48,41-55
Detroit Tigers,47,50,48-49
San Francisco Giants,47,50,46-51
Cincinnati Reds,47,50,53-44
Chicago Cubs,47,51,48-50
Texas Rangers,46,50,49-47
Toronto Blue Jays,44,52,41-55
Washington Nationals,44,53,45-52
Los Angeles Angels,41,55,39-57
Oakland Athletics,37,61,40-58
Colorado Rockies,34,63,33-64
Miami Marlins,33,63,32-64
Chicago White Sox,27,71,30-68
