away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
ARI,MIA,-130,110,0.533,0.467,Eduardo Rodriguez,Edward Cabrera
COL,WSH,132,-156,0.401,0.599,Austin Gomber,DJ Herz
CLE,NYY,130,-154,0.401,0.599,Matthew Boyd,Will Warren
CIN,TOR,106,-124,0.46,0.54,Carson Spiers,José Berríos
BAL,NYM,110,-130,0.478,0.522,Dean Kremer,Jose Quintana
PHI,ATL,-152,128,0.519,0.481,Zack Wheeler,Reynaldo López
MIL,STL,106,-124,0.469,0.531,Frankie Montas,Erick Fedde
PIT,TEX,120,-142,0.428,0.572,Mitch Keller,Cody Bradford
DET,CHC,126,-148,0.458,0.542,na,Javier Assad
BOS,HOU,-104,-112,0.492,0.508,Nick Pivetta,Ronel Blanco
LAA,KCR,168,-200,0.339,0.661,Tyler Anderson,Cole Ragans
TBR,OAK,-120,102,0.513,0.487,Shane Baz,Joey Estes
MIN,SDP,-116,-102,0.477,0.523,Bailey Ober,Martín Pérez
CWS,SFG,210,-255,0.383,0.617,Davis Martin,Robbie Ray
SEA,LAD,124,-146,0.436,0.564,Bryce Miller,Walker Buehler
