away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
LAA,DET,158,-188,0.407,0.593,Jack Kochanowicz,Keider Montero
SFG,MIL,116,-136,0.419,0.581,Hayden Birdsong,Aaron Civale
TEX,CWS,-260,215,0.659,0.341,Nathan Eovaldi,Nick Nastrini
SDP,STL,-108,-108,0.461,0.539,Michael King,Sonny Gray
MIA,COL,104,-122,0.482,0.518,Valente Bellozo,Bradley Blalock
NYM,ARI,102,-120,0.458,0.542,David Peterson,Ryne Nelson
OAK,CIN,108,-126,0.479,0.521,J.T. Ginn,Julian Aguiar
ATL,PHI,132,-156,0.404,0.596,Charlie Morton,Cristopher Sánchez
TOR,BOS,120,-142,0.382,0.618,Bowden Francis,Kutter Crawford
KCR,HOU,130,-154,0.381,0.619,Brady Singer,Hunter Brown
BAL,LAD,130,-154,0.38,0.62,Cade Povich,Bobby Miller
