away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
ARI,MIA,-210,176,0.585,0.412,Brandon Pfaadt,Adam Oller
CIN,TOR,130,-154,0.484,0.516,Julian Aguiar,Kevin Gausman
BAL,NYM,116,-134,0.475,0.525,Trevor Rogers,David Peterson
PIT,TEX,128,-152,0.412,0.588,Luis L. Ortiz,Dane Dunning
BOS,HOU,124,-146,0.462,0.538,Tanner Houck,Yusei Kikuchi
LAA,KCR,205,-250,0.356,0.644,Carson Fulmer,Seth Lugo
TBR,OAK,-132,112,0.513,0.487,Taj Bradley,Joe Boyle
MIN,SDP,138,-164,0.415,0.585,Daniel Matthews,Michael King
CWS,SFG,200,-245,0.353,0.647,Jonathan Cannon,Kyle Harrison
SEA,LAD,116,-136,0.471,0.529,Bryan Woo,Gavin Stone
