away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
NYM,STL,-110,-106,0.481,0.519,Sean Manaea,Andre Pallante
CIN,MIA,-144,122,0.577,0.423,Nick Martinez,Roddery Muñoz
ARI,CLE,-122,104,0.521,0.479,Zac Gallen,Logan Allen
SFG,WSH,-172,144,0.609,0.391,Logan Webb,Patrick Corbin
HOU,TEX,-108,-108,0.523,0.477,Hunter Brown,Andrew Heany
MIN,CHC,-120,102,0.568,0.432,David Festa,Kyle Hendricks
BOS,KCR,114,-134,0.416,0.584,James Paxton,Brady Singer
CWS,OAK,172,-205,0.425,0.575,Ky Bush,JP Sears
PHI,LAD,116,-134,0.443,0.557,Aaron Nola,Tyler Glasnow
