away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
TOR,CHC,100,-118,0.565,0.435,Yariel Rodríguez,Kyle Hendricks
WSH,PHI,225,-275,0.271,0.729,Patrick Corbin,Aaron Nola
NYY,DET,-190,160,0.565,0.435,Gerrit Cole,Brant Hunter
KCR,CIN,112,-132,0.409,0.591,Michael Lorenzen,Nick Martinez
SEA,PIT,108,-126,0.428,0.572,Logan Gilbert,Paul Skenes
ARI,TBR,-108,-108,0.458,0.542,Ryne Nelson,Ryan Pepiot
BOS,BAL,154,-184,0.381,0.619,Cooper Criswell,Corbin Burnes
MIA,NYM,200,-245,0.297,0.703,Roddery Muñoz,Sean Manaea
MIN,TEX,102,-120,0.477,0.523,Simeon Woods Richardson,Andrew Heaney
CWS,HOU,220,-270,0.381,0.619,Garrett Crochet,Spencer Arrighetti
CLE,MIL,-110,-106,0.508,0.492,Gavin Williams,Aaron Civale
LAD,STL,-134,114,0.483,0.517,Justin Wrobleski,Miles Mikolas
SDP,COL,-174,146,0.587,0.413,Matt Waldron,Cal Quantrill
ATL,LAA,-154,130,0.55,0.45,Spencer Schwellenbach,José Soriano
