away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp
STL,CIN,-136,116,0.559,0.441,Sonny Gray,Andrew Abbott
CHC,CLE,-120,102,0.516,0.484,Shota Imanaga,Ben Lively
HOU,TBR,-126,108,0.548,0.452,Framber Valdez,Taj Bradley
TEX,BOS,108,-126,0.453,0.547,Tyler Mahle,Brayan Bello
KCR,MIN,136,-162,0.384,0.616,Brady Singer,Pablo Lopez
LAD,MIL,-112,-104,0.464,0.536,Clayton Kershaw,Freddy Peralta
NYY,CWS,-330,265,0.669,0.331,Luis Gil,Ky Bush
TOR,LAA,-110,-106,0.46,0.54,Bowden Francis,Davis Daniel
COL,ARI,250,-310,0.298,0.702,Cal Quantrill,Brandon Pfaadt
PIT,SDP,164,-196,0.365,0.635,Marco Gonzales,Joe Musgrove
ATL,SFG,-108,-108,0.569,0.431,Chris Sale,Blake Snell
